,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n,int8,2.2876843929290773,1.7118746280670165,3.999559020996094,69.92462449073791,73.92418351173401,13.527372944758593,416
1,yolov5n,fp16,2.384590578079224,1.888451051712036,4.27304162979126,36.10310177803039,40.37614340782166,24.76710046077061,263
2,yolov5n,fp32,2.452623653411865,2.0416059017181394,4.494229555130005,45.8983097076416,50.392539262771606,19.84420738922295,315
3,yolov5s,int8,2.3217632293701174,2.2058120727539063,4.527575302124024,148.39340157508852,152.92097687721252,6.539325215028852,807
4,yolov5s,fp16,2.4744284629821776,2.151639890670776,4.626068353652954,60.545607280731204,65.17167563438416,15.344089134826639,391
5,yolov5s,fp32,2.9090567588806153,2.634913063049316,5.543969821929931,103.76741795539857,109.31138777732849,9.148177699811464,633
6,yolov5m,int8,2.2214871406555177,1.6153112411499022,3.83679838180542,316.91788086891177,320.75467925071723,3.1176474255527604,1647
7,yolov5m,fp16,3.1089897632598875,2.7135089874267577,5.822498750686645,126.62045931816101,132.44295806884767,7.550420306077513,758
8,yolov5m,fp32,3.130192947387695,2.7256791591644287,5.855872106552123,244.86220970153806,250.71808180809018,3.9885435976071353,1352
9,yolov5l,int8,2.3429056167602536,1.562122106552124,3.9050277233123776,589.7028139114379,593.6078416347503,1.6846138643419482,3012
10,yolov5l,fp16,2.983632278442383,2.8305109977722167,5.814143276214599,246.3254135131836,252.1395567893982,3.9660575783246053,1363
11,yolov5l,fp32,2.5750667572021486,3.25276894569397,5.8278357028961185,506.82144255638116,512.6492782592773,1.9506513369053071,2661
