,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n,int8,2.287684393,1.711874628,3.999559021,69.92462449,73.92418351,13.52737294,416
1,yolov5n,fp16,2.384590578,1.888451052,4.27304163,36.10310178,40.37614341,24.76710046,263
2,yolov5n,fp32,2.452623653,2.041605902,4.494229555,45.89830971,50.39253926,19.84420739,315
3,yolov5s,int8,2.321763229,2.205812073,4.527575302,148.3934016,152.9209769,6.539325215,807
4,yolov5s,fp16,2.474428463,2.151639891,4.626068354,60.54560728,65.17167563,15.34408913,391
5,yolov5s,fp32,2.909056759,2.634913063,5.543969822,103.767418,109.3113878,9.1481777,633
6,yolov5m,int8,2.221487141,1.615311241,3.836798382,316.9178809,320.7546793,3.117647426,1647
7,yolov5m,fp16,3.108989763,2.713508987,5.822498751,126.6204593,132.4429581,7.550420306,758
8,yolov5m,fp32,3.130192947,2.725679159,5.855872107,244.8622097,250.7180818,3.988543598,1352
9,yolov5l,int8,2.342905617,1.562122107,3.905027723,589.7028139,593.6078416,1.684613864,3012
10,yolov5l,fp16,2.983632278,2.830510998,5.814143276,246.3254135,252.1395568,3.966057578,1363
11,yolov5l,fp32,2.575066757,3.252768946,5.827835703,506.8214426,512.6492783,1.950651337,2661
12,yolov5n6,int8,8.544748402,4.419439697,12.9641881,308.7624174,321.7266055,3.108229108,1704
13,yolov5n6,fp16,8.867929125,3.708252478,12.5761816,244.8485425,257.4247241,3.884630754,1390
14,yolov5n6,fp32,8.852023649,4.916677427,13.76870108,206.5342262,220.3029273,4.539204324,1219
15,yolov5s6,int8,8.671354246,4.264110422,12.93546467,529.2275289,542.1629935,1.844463772,2796
16,yolov5s6,fp16,9.04182868,5.876423693,14.91825237,275.1917368,290.1099892,3.44696852,1592
17,yolov5s6,fp32,8.342701387,5.478679991,13.82138138,688.4114598,702.2328412,1.424029099,3619
18,yolov5m6,int8,8.272021627,4.610450649,12.88247228,1110.515626,1123.398098,0.890156394,5700
19,yolov5m6,fp16,9.566690254,6.896585083,16.46327534,587.7457448,604.2090201,1.655056391,3180
20,yolov5m6,fp32,9.841738987,6.961848831,16.80358782,1079.321458,1096.125046,0.912304672,5638
