model,resolution,precision,resolution,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
yolov5n6,320,fp16,fp16,0.309637976,0.810500622,1.120138597,10.25468822,11.37482681,87.91342642,109
yolov5n6,480,fp16,fp16,1.446162796,1.208547354,2.65471015,19.78438158,22.43909173,44.56508365,167
yolov5n6,600,fp16,fp16,2.312229061,1.704946613,4.017175674,35.13287454,39.15005021,25.5427514,258
yolov5n6,800,fp16,fp16,3.349417448,2.349052095,5.698469543,69.2811873,74.97965684,13.33695088,452
yolov5n6,960,fp16,fp16,5.80047698,3.591305351,9.391782331,114.9440872,124.3358696,8.042731382,707
yolov5s6,320,fp16,fp16,0.28116641,0.92492342,1.20608983,14.2876956,15.49378543,64.54200651,129
yolov5s6,480,fp16,fp16,1.330826139,1.102520037,2.433346176,31.26431689,33.69766307,29.67564837,229
yolov5s6,600,fp16,fp16,2.646444035,2.164408064,4.810852098,61.95250545,66.76335754,14.97827606,403
yolov5s6,800,fp16,fp16,4.202495527,3.00254097,7.205036497,112.2010452,119.4060817,8.374782808,689
yolov5s6,960,fp16,fp16,6.283166599,4.588887358,10.87205396,169.535741,180.407795,5.54299774,1009
yolov5m6,320,fp16,fp16,0.268697071,0.965045595,1.233742666,25.83250599,27.06624866,36.9463834,196
yolov5m6,480,fp16,fp16,1.646716166,1.530658674,3.17737484,63.00279918,66.18017402,15.1102655,415
yolov5m6,600,fp16,fp16,3.055820513,3.382389069,6.438209581,133.4949569,139.9331665,7.146268644,802
yolov5m6,800,fp16,fp16,4.452916622,3.982505465,8.435422087,238.2240659,246.659488,4.054172042,1358
yolov5m6,960,fp16,fp16,6.714513063,4.864035273,11.57854834,361.0007288,372.5792771,2.683992539,2000
yolov5l6,320,fp16,fp16,0.259290314,1.087139273,1.346429586,46.90703559,48.25346518,20.72390027,320
yolov5l6,480,fp16,fp16,1.795134306,2.022660923,3.817795229,124.4703428,128.2881381,7.794952949,743
yolov5l6,600,fp16,fp16,3.462433815,2.84460659,6.307040405,259.8382937,266.1453341,3.757345599,1442
yolov5l6,800,fp16,fp16,4.879588938,3.487671518,8.367260456,548.2367875,556.604048,1.796609284,2906
yolov5l6,960,fp16,fp16,6.757919264,5.003044558,11.76096382,696.5305471,708.2915109,1.411848066,3690
