,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n,fp16,0.5810413837432861,1.2436456203460693,1.8246870040893555,11.604573488235474,13.429260492324829,74.46426410237005,124
1,yolov5n,fp16,1.3526410579681398,1.3991978645324705,2.7518389225006104,21.108705520629883,23.860544443130493,41.91019204877793,177
2,yolov5n,fp16,5.243044662475586,2.9327992916107175,8.175843954086304,123.96075344085693,132.13659739494324,7.567926068287492,734
3,yolov5s,fp16,0.7528617858886719,0.8841350555419922,1.6369968414306642,18.138509035110474,19.77550587654114,50.5676065251134,151
4,yolov5s,fp16,1.733901596069336,1.3301737785339356,3.064075374603272,35.91150965690613,38.9755850315094,25.65708761501747,252
5,yolov5s,fp16,5.418256950378418,4.001288414001465,9.419545364379882,176.7411603450775,186.16070570945737,5.371702885359215,1017
6,yolov5m,fp16,0.7403985977172851,0.9683266639709472,1.7087252616882322,34.48542575836182,36.19415102005006,27.628773484589857,248
7,yolov5m,fp16,2.0216793060302733,2.092765235900879,4.114444541931152,69.36513347625733,73.47957801818849,13.609223500881683,447
8,yolov5m,fp16,5.875197410583496,4.860429906845092,10.735627317428587,315.1233901977539,325.8590175151825,3.0688118058706415,1756
9,yolov5l,fp16,0.9748598098754883,1.4711019039154052,2.4459617137908936,65.8905119895935,68.3364737033844,14.633473836249097,430
10,yolov5l,fp16,1.9686461448669432,2.5892319202423093,4.557878065109253,135.58423461914063,140.14211268424987,7.135613848301766,795
11,yolov5l,fp16,5.998756504058838,4.55183777809143,10.550594282150268,609.240768814087,619.7913630962373,1.613446168408007,3227
